Crop,a,b,c,d,e
Alfalfa seed,1.05E-01,3.82E-03,-6.77E-06,4.83E-09,-1.25E-12
Tame legume,1.05E-01,3.82E-03,-6.77E-06,4.83E-09,-1.25E-12
Barley,4.22E-02,1.51E-03,4.89E-06,-8.69E-09,2.49E-12
Barley silage,4.48E-02,1.44E-03,5.25E-06,-9.33E-09,2.84E-12
Barley silage underseed,4.52E-02,1.44E-03,5.23E-06,-9.26E-09,2.79E-12
Undersown Barley,4.52E-02,1.44E-03,5.23E-06,-9.26E-09,2.79E-12
Brome hay,1.01240697,0.004093333,,,
Canary seed,-1.38E-02,2.50E-03,8.09E-07,-3.44E-09,9.49E-13
Canola,8.70E-02,7.13E-03,-0.0000197,0.000000023,-9.63E-12
Caraway,-2.11E-02,2.70E-03,-2.05E-07,-1.72E-09,3.45E-14
Carrot,1.61E-03,1.38E-03,-1.94E-06,2.22E-09,-9.93E-13
Vegetables,1.61E-03,1.38E-03,-1.94E-06,2.22E-09,-9.93E-13
Corn silage,6.47E-03,1.81E-03,-0.00000262,3.69E-09,-1.86E-12
Silage Corn,6.47E-03,1.81E-03,-0.00000262,3.69E-09,-1.86E-12
CPS wheat,4.79E-02,2.98E-03,-1.34E-06,-5.84E-10,-4.15E-13
Dill,-1.95E-02,2.65E-03,8.74E-08,-2.21E-09,2.86E-13
Dry bean,-3.66E-02,2.53E-03,-0.00000218,7.59E-10,-2.92E-13
Beans (dryfield),-3.66E-02,2.53E-03,-0.00000218,7.59E-10,-2.92E-13
Dry peas,2.98E-02,3.16E-03,-3.84E-06,2.91E-09,-1.44E-12
Durum,-1.91E-02,2.64E-03,1.07E-07,-2.23E-09,2.98E-13
Faba bean,2.30E-02,1.67E-03,-5.34E-07,1.50E-09,-1.40E-12
Flax,7.42E-02,1.87E-03,8.66E-07,-1.70E-09,-2.89E-13
Flaxseed,7.42E-02,1.87E-03,8.66E-07,-1.70E-09,-2.89E-13
Fresh corn (sweet),7.09E-02,1.23E-03,-1.07E-07,3.04E-10,-4.83E-13
Corn,7.09E-02,1.23E-03,-1.07E-07,3.04E-10,-4.83E-13
Fresh peas,8.57E-03,2.83E-03,-3.73E-06,4.55E-09,-3.03E-12
Chickpea,8.57E-03,2.83E-03,-3.73E-06,4.55E-09,-3.03E-12
Field peas,8.57E-03,2.83E-03,-3.73E-06,4.55E-09,-3.03E-12
Grain corn ,7.64E-03,1.79E-03,-0.000002537,3.56E-09,-1.79E-12
Tame grass,1.01E+00,4.11E-03,,,
Grass Hay,1.01E+00,4.11E-03,,,
Grass seed,1.01E+00,4.09E-03,,,
Forage for Seed,1.01E+00,4.09E-03,,,
Green feed,5.05E-02,1.06E-03,4.72E-06,-6.34E-09,8.92E-13
Hard red spring wheat,-1.92E-02,2.64E-03,1.05E-07,-2.23E-09,3.57E-13
Wheat,-1.92E-02,2.64E-03,1.05E-07,-2.23E-09,3.57E-13
Hyola,6.38E-02,1.47E-03,2.53E-06,-3.74E-09,3.42E-13
Lentils,-1.88E-02,2.62E-03,2.39E-07,-2.47E-09,4.27E-13
Linola,7.42E-02,1.87E-03,8.66E-07,-1.70E-09,-2.89E-13
Malt barley,4.22E-02,1.51E-03,4.89E-06,-8.69E-09,2.49E-12
Buckwheat,4.22E-02,1.51E-03,4.89E-06,-8.69E-09,2.49E-12
Market garden,4.95E-02,1.08E-03,4.79E-06,-6.76E-09,1.34E-12
Tobacco,4.95E-02,1.08E-03,4.79E-06,-6.76E-09,1.34E-12
Winter weeds,4.95E-02,1.08E-03,4.79E-06,-6.76E-09,1.34E-12
Milk vetch,9.94E-01,4.25E-03,,,
Hairy vetch,9.94E-01,4.25E-03,,,
Mint,4.74E-02,1.38E-03,5.60E-06,-1.00E-08,3.28E-12
Monarda,-1.70E-02,2.57E-03,5.19E-07,-2.96E-09,6.93E-13
Mustard,6.37E-02,1.51E-03,2.29E-06,-3.31E-09,1.17E-13
Mustard seed,6.37E-02,1.51E-03,2.29E-06,-3.31E-09,1.17E-13
Native pasture,1.00E+00,4.17E-03,,,
Rangeland (native),1.00E+00,4.17E-03,,,
Oats,7.99E-02,2.00E-03,1.75E-06,-3.74E-09,4.76E-13
Oat silage,8.12E-02,1.97E-03,1.88E-06,-3.91E-09,5.25E-13
Onion,1.11E-01,4.04E-03,-7.78E-06,6.83E-09,-2.27E-12
Potatoes,5.60E-02,1.77E-03,-0.0000019,1.50E-09,-5.40E-13
Rye,-2.03E-02,2.65E-03,6.30E-08,-2.18E-09,2.76E-13
Safflower,4.81E-02,2.97E-03,-5.95E-06,6.74E-09,-2.78E-12
Seed potato,6.48E-02,1.96E-03,-1.76E-06,1.49E-09,-7.16E-13
Small fruit,4.61E-02,1.47E-03,5.01E-06,-8.82E-09,2.53E-12
Berries and Grapes,4.61E-02,1.47E-03,5.01E-06,-8.82E-09,2.53E-12
Soft wheat,-2.07E-02,2.66E-03,4.71E-08,-2.16E-09,2.67E-13
Sorghum sudan grass,4.59E-02,1.30E-03,-3.85E-07,6.12E-10,-5.69E-13
Sorghum,4.59E-02,1.30E-03,-3.85E-07,6.12E-10,-5.69E-13
Sugar beets,-1.51E-01,4.47E-03,-0.00000628,4.23E-09,-1.25E-12
Sunflower seed,2.52E-02,2.95E-03,-5.77E-06,5.99E-09,-2.17E-12
Sunflower,2.52E-02,2.95E-03,-5.77E-06,5.99E-09,-2.17E-12
Tame pasture,9.22E-01,4.84E-03,,,
Tame mixed,9.22E-01,4.84E-03,,,
Seeded grassland,9.22E-01,4.84E-03,,,
Timothy hay,9.34E-01,1.20E-02,,,
Triticale,-2.35E-02,2.73E-03,-3.20E-07,-1.57E-09,-3.30E-14
Turf sod,8.19E-01,5.86E-03,,,
Winter wheat,-4.27E-02,4.52E-03,-4.95E-06,1.98E-09,-1.10E-12
Fall rye,-4.27E-02,4.52E-03,-4.95E-06,1.98E-09,-1.10E-12
Millet,1.47E-01,2.26E-03,-1.98E-06,7.81E-10,-1.51E-13
Mixed grains,1.47E-01,2.26E-03,-1.98E-06,7.81E-10,-1.51E-13
Soybeans,2.37E-01,1.61E-03,-9.88E-07,3.77E-10,-9.49E-14
